canonical_column,matched_input_column
datapoint_id,id
exact_polymer_name,exact_polymer_name
polymer_family,parent_family
chemical_structure_image,
repeating_unit_formula,
smiles,
repeat_unit_mw_g_mol,
polymer_mw_raw,
film_method_preparation,
mw_kda,
pdi,
mn_kda,
dopant,
doping_level_raw,
carrier_type,
dopant_solvent,
polymer_solvent,
doping_method,
annealing_temperature_raw,
annealing_condition,
annealing_time_raw,
annealing_atmosphere,
film_thickness_raw,
substrate_type,
measurement_temperature_raw,
orientation_alignment,
sample_form,
thermal_conductivity_raw,
doping_time_raw,
post_treatment,
smiles_inchi,
doping_oxidation_level_raw,
electrical_conductivity_raw,
seebeck_raw,
power_factor_raw,
zt_raw,
temperature_raw,
doping_temperature_raw,
