column,missing_count,missing_percent,non_missing_count,dtype
repeat_unit_name,10,83.33,2,object
backbone_planarity,10,83.33,2,object
fused_ring_count,10,83.33,2,object
side_chain_branching,10,83.33,2,object
side_chain_length,10,83.33,2,object
structure_2d,9,75.0,3,object
heteroatom_type,9,75.0,3,object
ring_system_type,9,75.0,3,object
backbone_type,9,75.0,3,object
side_chain_present,9,75.0,3,object
structure_3d,9,75.0,3,object
side_chain_type,9,75.0,3,object
charge_type,9,75.0,3,object
parent_family,9,75.0,3,object
monomer_structure_text,9,75.0,3,object
notes_on_structure,9,75.0,3,object
reference_doi,9,75.0,3,object
base_polymer_or_derivative,9,75.0,3,object
id,0,0.0,12,object
clean_row_id,0,0.0,12,object
exact_polymer_name,0,0.0,12,object
datapoint_id,0,0.0,12,object
polymer_family,0,0.0,12,object
validation_status,0,0.0,12,object
molecular_design_flag,0,0.0,12,int64
doping_flag,0,0.0,12,int64
transport_decoupling_flag,0,0.0,12,int64
morphology_control_flag,0,0.0,12,int64
hybrid_composites_flag,0,0.0,12,int64
category_labels,0,0.0,12,object
primary_strategy,0,0.0,12,object
