column_index,column_name
0,Dataset 1
1,Monomer Structure
2,Unnamed: 2
3,Unnamed: 3
4,Unnamed: 4
5,Unnamed: 5
6,Unnamed: 6
7,Unnamed: 7
8,Unnamed: 8
9,Unnamed: 9
10,Unnamed: 10
11,Unnamed: 11
12,Unnamed: 12
13,Unnamed: 13
14,Unnamed: 14
15,Unnamed: 15
16,Unnamed: 16
17,Unnamed: 17
18,Unnamed: 18
19,Unnamed: 19
20,Unnamed: 20
21,Unnamed: 21
22,Unnamed: 22
23,Unnamed: 23
24,Unnamed: 24
25,Unnamed: 25
26,Unnamed: 26
27,Unnamed: 27
28,Dataset 2
29,Material / Processing / Performance
30,Unnamed: 30
31,Unnamed: 31
32,Unnamed: 32
33,Unnamed: 33
34,Unnamed: 34
35,Unnamed: 35
36,Unnamed: 36
37,Unnamed: 37
38,Unnamed: 38
39,Unnamed: 39
40,Unnamed: 40
41,Unnamed: 41
42,Unnamed: 42
43,Unnamed: 43
44,Unnamed: 44
45,Unnamed: 45
46,Unnamed: 46
47,Unnamed: 47
48,Unnamed: 48
49,Unnamed: 49
50,Unnamed: 50
51,Unnamed: 51
52,Unnamed: 52
53,Unnamed: 53
54,Unnamed: 54
55,Unnamed: 55
56,Unnamed: 56
57,Unnamed: 57
58,Unnamed: 58
59,Unnamed: 59
60,Unnamed: 60
61,Dataset 3
62,Graph Extracted Data
63,Unnamed: 63
64,Unnamed: 64
65,Unnamed: 65
66,Unnamed: 66
67,Unnamed: 67
68,Unnamed: 68
69,Unnamed: 69
70,Unnamed: 70
71,Unnamed: 71
72,Unnamed: 72
73,Unnamed: 73
74,Unnamed: 74
75,Unnamed: 75
76,Unnamed: 76
