Data series label,X value (S cm⁻¹),Y value ($\mu$V K⁻¹)
PEDOT:tosylate,0.00065,780
PEDOT:tosylate,0.0045,710
PEDOT:tosylate,0.01,680
PEDOT:tosylate,0.035,600
PEDOT:tosylate,0.11,550
PEDOT:tosylate,0.45,480
PEDOT:tosylate,1.5,430
PEDOT:tosylate,3.8,410
PEDOT:tosylate,5.5,380
PEDOT:tosylate,16,340
PEDOT:tosylate,24,280
PEDOT:tosylate,42,250
PEDOT:tosylate,70,220
PEDOT:tosylate,95,190
PEDOT:tosylate,110,115
PEDOT:tosylate,130,100
PEDOT:tosylate,170,85
PEDOT:tosylate,210,75
PEDOT:tosylate,250,68
PEDOT:tosylate,300,60
PEDOT:tosylate,350,52
PEDOT:tosylate,420,48
PEDOS-C6,0.0015,750
PEDOS-C6,0.0018,720
PEDOS-C6,0.0022,680
PEDOS-C6,0.45,720
PEDOS-C6,10,180
PEDOS-C6,20,140
PEDOS-C6,30,88
PEDOS-C6,32,32
PEDOS-C6,38,38
PEDOS-C6,40,110
PEDOS-C6,42,105
PEDOS-C6,45,98
PEDOS-C6,48,102
PEDOS-C6,50,85
PEDOS-C6,52,75
PEDOS-C6,55,65
PEDOS-C6,58,48
