Data series,Electrical conductivity (S cm⁻¹),Seebeck coefficient (μV K⁻¹)
P3HT,0.00005,950
P3HT,0.00009,950
P3HT,0.00011,950
P3HT,0.0003,550
P3HT,0.0005,380
P3HT,0.0007,650
P3HT,0.001,650
P3HT,0.18,170
P3HT,0.22,140
P3HT,0.28,110
P3HT,0.32,110
P3HT,0.35,105
P3HT,0.38,105
P3HT,0.5,110
P3HT,20,70
P3HT,25,62
P3HT,30,65
PBTTT-C14,0.0006,750
PBTTT-C14,0.005,580
PBTTT-C14,0.008,400
PBTTT-C14,0.01,400
PBTTT-C14,0.015,430
PBTTT-C14,0.02,350
PBTTT-C14,0.02,220
PBTTT-C14,0.028,200
PBTTT-C14,0.04,300
PBTTT-C14,0.3,130
PBTTT-C14,2.2,52
PBTTT-C14,3.8,68
PBTTT-C14,450,25
PBTTT-C14,600,20
P2TDC17-FT4,0.00075,636
P2TDC17-FT4,0.00545,415
P2TDC17-FT4,0.0239,189
P2TDC17-FT4,0.032,360
P2TDC17-FT4,0.218,126
