Data Series,X value,Y value,,,,,,,
p type Polythiophenes,0.159624499,77.27868111,,,,,,,
p type Polythiophenes,0.179762853,138.608877,,,,,,,
p type Polythiophenes,0.203326294,118.7481536,,,,,,,
p type Polythiophenes,0.22081677,100,,,,,,,
p type Polythiophenes,0.23944741,108.9716264,,,,,,,
p type Polythiophenes,0.3318449,103.4964309,,,,,,,
p type Polythiophenes,0.346982293,53.86954205,,,,,,,
p type Polythiophenes,0.586638466,118.7481536,,,,,,,
p type Polythiophenes,0.640599413,39.53802078,,,,,,,
p type Polythiophenes,0.958218077,90.20360211,,,,,,,
p type Polythiophenes,0.964162079,31.6227766,,,,,,,
p type Polythiophenes,1.323538109,151.0443476,,,,,,,
p type Polythiophenes,1.511822228,24.43766469,,,,,,,
p type Polythiophenes,1.560879713,108.9716264,,,,,,,
p type Polythiophenes,1.702037203,46.15078627,,,,,,,
p type Polythiophenes,2.257740936,73.39587321,,,,,,,
p type Polythiophenes,2.345462553,114.7364722,,,,,,,
p type Polythiophenes,3.131492182,60.755009,,,,,,,
p type Polythiophenes,4.150956642,108.9716264,,,,,,,
p type Polythiophenes,4.340306136,56.71936281,,,,,,,
p type Polythiophenes,7.373894396,54.80320658,,,,,,,
p type Polythiophenes,7.991988812,65.07779594,,,,,,,
p type Polythiophenes,9.009393354,98.2963323,,,,,,,
p type Polythiophenes,9.792335318,72.14545143,,,,,,,
p type Polythiophenes,14.76829434,40.92044034,,,,,,,
p type Polythiophenes,15.9786404,65.07779594,,,,,,,
p type Polythiophenes,23.06555672,61.80801214,,,,,,,
p type Polythiophenes,25.03953949,55.75305334,,,,,,,
p type Polythiophenes,26.10223369,48.59226737,,,,,,,
p type Polythiophenes,29.51475514,43.83197551,,,,,,,
p type Polythiophenes,37.73272575,36.28285829,,,,,,,
p type Polythiophenes,39.170975,63.96908655,,,,,,,
p type Polythiophenes,66.72454967,39.53802078,,,,,,,
p type Polythiophenes,75.49380731,32.17086117,,,,,,,
p type Polythiophenes,78.38727843,54.80320658,,,,,,,
p type Polythiophenes,78.44292507,48.59226737,,,,,,,
p type Polythiophenes,88.78826453,36.91171119,,,,,,,
p type Polythiophenes,88.99553194,24.86121722,,,,,,,
p type Polythiophenes,113.4410913,33.87277258,,,,,,,
p type Polythiophenes,118.0041148,42.35119525,,,,,,,
p type Polythiophenes,123.6750097,14.84710538,,,,,,,
p type Polythiophenes,139.3485636,24.43766469,,,,,,,
p type Polythiophenes,163.7051836,33.87277258,,,,,,,
p type Polythiophenes,170.6529372,29.52223641,,,,,,,
p type Polythiophenes,170.9819606,21.29895073,,,,,,,
p type Polythiophenes,193.5316861,16.17913221,,,,,,,
p type Polythiophenes,200.5625362,38.20230365,,,,,,,
p type Polythiophenes,257.8400211,12.29001007,,,,,,,
p type Polythiophenes,267.9667042,17.93623739,,,,,,,
p type Polythiophenes,302.6621004,19.5454096,,,,,,,
p type Polythiophenes,402.049464,24.43766469,,,,,,,
p type Polythiophenes,557.3044953,22.42571346,,,,,,,
p type Polythiophenes,581.1924888,18.24710747,,,,,,,
p type Polythiophenes,944.3312857,33.87277258,,,,,,,
p type Polythiophenes,945.1932836,29.01927561,,,,,,,
p type Polythiophenes,1426.64826,14.34552405,,,,,,,
p type PA/PANI,1.71E-07,673.5319609,,,,,,,
p type PA/PANI,4.72E-07,1386.08877,,,,,,,
p type PA/PANI,8.70E-07,1208.062914,,,,,,,
p type PA/PANI,1.36151E-06,1250.301999,,,,,,,
p type PA/PANI,1.88612E-06,1271.972178,,,,,,,
p type PA/PANI,2.83361E-06,1386.08877,,,,,,,
p type PA/PANI,5.90697E-06,1167.250797,,,,,,,
p type PA/PANI,8.90407E-06,721.4545143,,,,,,,
p type PA/PANI,1.9267E-05,1089.716264,,,,,,,
p type PA/PANI,3.01743E-05,1034.964309,,,,,,,
p type PA/PANI,3.86268E-05,685.2055871,,,,,,,
p type PA/PANI,4.92319E-05,949.7557692,,,,,,,
p type PA/PANI,0.000232275,597.1994554,,,,,,,
p type PA/PANI,0.000296738,557.5305334,,,,,,,
p type PA/PANI,0.000729286,356.6471895,,,,,,,
p type PA/PANI,0.000861722,185.6336553,,,,,,,
p type PA/PANI,0.001344909,316.227766,,,,,,,
p type PA/PANI,0.004968316,202.2880133,,,,,,,
p type PA/PANI,0.016924019,120.8062914,,,,,,,
p type PA/PANI,0.086715578,63.96908655,,,,,,,
p type PA/PANI,0.362589575,31.08402957,,,,,,,
p type PA/PANI,0.391789179,61.80801214,,,,,,,
p type PA/PANI,0.44526169,23.61208448,,,,,,,
p type PA/PANI,1.090655686,26.63012067,,,,,,,
p type PA/PANI,1.28077102,39.53802078,,,,,,,
p type PA/PANI,1.508760041,34.45985398,,,,,,,
p type PA/PANI,1.576144716,20.93608739,,,,,,,
p type PA/PANI,2.00501548,40.22329202,,,,,,,
p type PA/PANI,4.722276007,35.05711065,,,,,,,
p type PA/PANI,4.738580983,19.5454096,,,,,,,
p type PA/PANI,5.847384496,6.507779594,,,,,,,
p type PA/PANI,6.532567,45.36453023,,,,,,,
p type PA/PANI,6.838870344,19.21242077,,,,,,,
p type PA/PANI,6.893162661,5.02912624,,,,,,,
p type PA/PANI,12.53157182,50.2912624,,,,,,,
p type PA/PANI,17.43249598,25.29211074,,,,,,,
p type PA/PANI,20.60654564,12.29001007,,,,,,,
p type PA/PANI,22.48148247,4.77644166,,,,,,,
p type PA/PANI,25.49548388,2.61764319,,,,,,,
p type PA/PANI,27.36771798,15.90349356,,,,,,,
p type PA/PANI,30.81732676,29.01927561,,,,,,,
p type PA/PANI,34.91346877,18.88510496,,,,,,,
p type PA/PANI,44.49007207,27.09167275,,,,,,,
p type PA/PANI,59.37584824,15.36622416,,,,,,,
p type PA/PANI,89.28470911,14.34552405,,,,,,,
p type PA/PANI,146.4900501,5.116290834,,,,,,,
p type PA/PANI,151.4276452,18.56336553,,,,,,,
p type PA/PANI,316.7250611,8.866683247,,,,,,,
p type PA/PANI,356.9365546,14.10112399,,,,,,,
p type PA/PANI,808.7347459,8.715624428,,,,,,,
p type PA/PANI,839.4759859,15.63255088,,,,,,,
p type PA/PANI,912.8914577,10.52902264,,,,,,,
p type PA/PANI,1614.636147,11.08603178,,,,,,,
p type PA/PANI,2332.184771,9.497557692,,,,,,,
p type PA/PANI,32833.12681,19.88416978,,,,,,,
p type PA/PANI,47433.87269,16.45954822,,,,,,,
p type PA/PANI,63118.76599,15.36622416,,,,,,,
p type CNT composite,432.4933111,103.4964309,,,,,,,
p type CNT composite,649.4927336,120.8062914,,,,,,,
p type CNT composite,899.3879793,131.6445805,,,,,,,
p type CNT composite,1197.030042,118.7481536,,,,,,,
p type CNT composite,1951.66995,122.9001007,,,,,,,
p type CNT composite,6447.038716,13.39262386,,,,,,,
p type Other,0.004017643,871.5624428,,,,,,,
p type Other,0.008776804,261.764319,,,,,,,
p type Other,0.014865932,423.5119525,,,,,,,
p type Other,0.016188976,224.2571346,,,,,,,
p type Other,0.018176027,673.5319609,,,,,,,
p type Other,0.067165685,409.2044034,,,,,,,
p type Other,0.070372044,151.0443476,,,,,,,
p type Other,0.134968924,173.3029559,,,,,,,
p type Other,0.202770513,188.8510496,,,,,,,
p type Other,0.210584844,310.8402957,,,,,,,
p type Other,1.324746252,129.4017943,,,,,,,
p type Other,2.077645439,96.62168943,,,,,,,
p type Other,3.522990405,129.4017943,,,,,,,
p type Other,3.534079522,75.96210918,,,,,,,
p type Other,4.694591017,94.97557692,,,,,,,
p type Other,7.642556778,127.1972178,,,,,,,
p type Other,7.979844941,84.21183567,,,,,,,
p type Other,12.56464627,32.17086117,,,,,,,
p type Other,13.02507048,72.14545143,,,,,,,
p type Other,19.67762205,30.554461,,,,,,,
n type Polythiophenes,0.00314,813.6689,,,,,,,
n type Polythiophenes,0.00556,933.575,,,,,,,
n type PA/PANI,0.032956514,10.52902264,,,,,,,
n type PA/PANI,0.049733554,5.386954205,,,,,,,
n type PA/PANI,0.06346525,6.0755009,,,,,,,
n type PA/PANI,0.829241315,3.953802078,,,,,,,
n type PA/PANI,5.639541295,3.003391451,,,,,,,
n type Other,3.241639833,173.3029559,,,,,,,
n type Other,14.84484781,17.03504494,,,,,,,
n type Other,34.53329459,120.8062914,,,,,,,
Bi2Te3 compounds,175.6910761,212.9895073,,,,,,,
Bi2Te3 compounds,298.7600356,176.3066351,,,,,,,
Bi2Te3 compounds,935.7544254,159.0349356,,,,,,,
Bi2Te3 compounds,1147.946454,143.4552405,,,,,,,
