Data Series,X value,Y value,,,,,,,
p type PEDOTs,0.00039394,772.7868111,,,,,,,
p type PEDOTs,0.002273589,709.1633267,,,,,,,p type PEDOTs
p type PEDOTs,0.004290869,12.50301999,,,,,,,p type Polythiophenes
p type PEDOTs,0.006565098,618.0801214,,,,,,,p type PA/PANI
p type PEDOTs,0.012380045,12.50301999,,,,,,,p type CNT composite
p type PEDOTs,0.022302152,587.0251611,done,,,,,,p type Other
p type PEDOTs,0.078905519,567.1936281,,,,,,,n type Polythiophenes
p type PEDOTs,0.315635242,502.912624,,,,,,,n type PA/PANI
p type PEDOTs,0.824129092,11.2781744,,,,,,,n type Other
p type PEDOTs,1.612346146,445.9166938,,,,,,,Bi2Te3 compounds
p type PEDOTs,4.119932977,388.6442429,,,,,,,
p type PEDOTs,8.41691606,10,,,,,,,
p type PEDOTs,11.89288667,356.6471895,,,,,,,
p type PEDOTs,21.93664741,305.54461,,,,,,,
p type PEDOTs,40.48716759,236.1208448,,,,,,,
p type PEDOTs,56.10458716,228.1439493,,,,,,,
p type PEDOTs,81.070484,182.4710747,,,,,,,
p type PEDOTs,99.69632979,108.9716264,,,,,,,
p type PEDOTs,117.4431935,94.97557692,,,,,,,
p type PEDOTs,138.4333406,74.66796726,,,,,,,
p type PEDOTs,169.8761944,63.96908655,,,,,,,
p type PEDOTs,208.3128946,61.80801214,,,,,,,
p type PEDOTs,255.6277384,52.95178406,,,,,,,
p type PEDOTs,255.8870186,44.59166938,,,,,,,
p type PEDOTs,277.7861894,40.22329202,,,,,,,
p type PEDOTs,453.9673422,28.03891435,,,,,,,
p type PEDOTs,489.9292896,68.52055871,,,,,,,
p type PEDOTs,554.4305288,53.86954205,,,,,,,
p type PEDOTs,603.1010505,34.45985398,,,,,,,
p type PEDOTs,678.5693529,72.14545143,,,,,,,
p type PEDOTs,680.6362425,43.0852243,,,,,,,
p type PEDOTs,902.4018795,74.66796726,,,,,,,
p type PEDOTs,1538.414916,40.22329202,,,,,,,
p type PEDOTs,1735.666914,52.95178406,,,,,,,
p type Polythiophenes,4.85381E-06,332.9569309,,,,,,,
p type Polythiophenes,1.23725E-05,438.3197551,,,,,,,
p type Polythiophenes,1.34096E-05,520.4966162,,,,,,,
p type Polythiophenes,1.71225E-05,529.5178406,,,,,,,
p type Polythiophenes,2.3648E-05,902.0360211,,,,,,,
p type Polythiophenes,2.37273E-05,511.6290834,,,,,,,
p type Polythiophenes,3.15859E-05,445.9166938,,,,,,,
p type Polythiophenes,3.55348E-05,949.7557692,,,,,,,
p type Polythiophenes,3.71821E-05,438.3197551,,,,,,,
p type Polythiophenes,4.55165E-05,567.1936281,,,,,,,
p type Polythiophenes,4.56043E-05,409.2044034,,,,,,,
p type Polythiophenes,5.37332E-05,344.5985398,,,,,,,
p type Polythiophenes,5.81369E-05,548.0320658,,,,,,,
p type Polythiophenes,6.5671E-05,587.0251611,,,,,,,
p type Polythiophenes,8.37606E-05,721.4545143,,,,,,,
p type Polythiophenes,0.000102848,557.5305334,,,,,,,
p type Polythiophenes,0.000111684,477.644166,,,,,,,
p type Polythiophenes,0.000121033,577.0242031,,,,,,,
p type Polythiophenes,0.000121451,321.7086117,,,,,,,
p type Polythiophenes,0.00013669,639.6908655,,,,,,,
p type Polythiophenes,0.000142679,445.9166938,,,,,,,
p type Polythiophenes,0.000167788,520.4966162,,,,,,,
p type Polythiophenes,0.00016806,395.3802078,,,,,,,
p type Polythiophenes,0.000168607,228.1439493,,,,,,,
p type Polythiophenes,0.000189705,477.644166,,,,,,,
p type Polythiophenes,0.000242501,402.2329202,,,,,,,
p type Polythiophenes,0.000350944,248.6121722,,,,,,,
p type Polythiophenes,0.000378592,650.7779594,,,,,,,
p type Polythiophenes,0.000395661,369.1171119,,,,,,,
p type Polythiophenes,0.000483662,607.55009,,,,,,,
p type Polythiophenes,0.000617391,650.7779594,,,,,,,
p type Polythiophenes,0.000827226,188.8510496,,,,,,,
p type Polythiophenes,0.001714159,438.3197551,,,,,,,
p type Polythiophenes,0.002189665,416.2967161,,,,,,,
p type Polythiophenes,0.002382368,257.3047249,,,,,,,
p type Polythiophenes,0.002390351,145.9416004,,,,,,,
p type Polythiophenes,0.0025784,388.6442429,,,,,,,
p type Polythiophenes,0.003565026,548.0320658,,,,,,,
p type Polythiophenes,0.00371972,409.2044034,,,,,,,
p type Polythiophenes,0.004380532,375.5146334,,,,,,,
p type Polythiophenes,0.004951723,356.6471895,,,,,,,
p type Polythiophenes,0.006070268,362.8285829,,,,,,,
p type Polythiophenes,0.007789613,159.0349356,,,,,,,
p type Polythiophenes,0.008071785,382.0230365,,,,,,,
p type Polythiophenes,0.011658908,327.2844512,,,,,,,
p type Polythiophenes,0.013255523,116.7250797,,,,,,,
p type Polythiophenes,0.014340435,188.8510496,,,,,,,
p type Polythiophenes,0.014900635,285.2488358,,,,,,,
p type Polythiophenes,0.018312895,188.8510496,,,,,,,
p type Polythiophenes,0.021570572,167.4482438,,,,,,,
p type Polythiophenes,0.025271607,369.1171119,,,,,,,
p type Polythiophenes,0.026368197,275.6122442,,,,,,,
p type Polythiophenes,0.035130043,209.3608739,,,,,,,
p type Polythiophenes,0.035183505,161.7913221,,,,,,,
p type Polythiophenes,0.036695311,129.4017943,,,,,,,
p type Polythiophenes,0.045048311,103.4964309,,,,,,,
p type Polythiophenes,0.050767656,164.5954822,,,,,,,
p type Polythiophenes,0.064679874,244.3766469,,,,,,,
p type Polythiophenes,0.070272237,192.1242077,,,,,,,
p type Polythiophenes,0.082781342,167.4482438,,,,,,,
p type Polythiophenes,0.105905777,122.9001007,,,,,,,
p type Polythiophenes,0.110434068,101.7331956,,,,,,,
p type Polythiophenes,0.119605962,136.2474423,,,,,,,
p type Polythiophenes,0.159188174,122.9001007,,,,,,,
