Polymer Family,count,mean,median,min,max,comparison_variable,Film Method Preparation,annealing condition,substrate_type,orientation_or_alignment,sample_form,thermal_conductivity_method,thermal_conductivity (W m⁻¹ K⁻¹),doping_or_oxidation_level [(mmol l⁻¹)],electrical_conductivity [σ (S cm⁻¹) ],seebeck_coefficient [(S (µV K⁻¹) )],power_factor_Extracted [PF (µW m⁻¹ K⁻²) ],Temperature (K)
Polymeric multi-heterojunction (PMHJ),18,0.9729694723834079,0.9872770212765956,0.69198,1.2348162475822,Polymer Family,,,,,,,,,,,,
Diketopyrrolopyrrole (DPP) derivative,18,0.2619530958521382,0.260650657640232,0.18457,0.33447,Polymer Family,,,,,,,,,,,,
Polythiophene derivative,18,0.02820872125510424,0.026235,0.02073,0.0371373307543521,Polymer Family,,,,,,,,,,,,
,18,0.9729694723834079,0.9872770212765956,0.69198,1.2348162475822,Film Method Preparation,Sequential Solution Casting,,,,,,,,,,,
,36,0.1450809085536212,0.11085366537717606,0.02073,0.33447,Film Method Preparation,Spin-coating,,,,,,,,,,,
,9,0.9731356114334824,0.987234042553191,0.6963249516441,1.2348162475822,Annealing Condition,,180 °C (1 h) + 383 K (3 min),,,,,,,,,,
,18,0.14476681710724246,0.11141199226305605,0.0216634429400386,0.334235976789168,Annealing Condition,,180 °C for 1 h,,,,,,,,,,
,9,0.9731356114334824,0.987234042553191,0.6963249516441,1.2348162475822,Substrate Type,,,"Glass, Polyimide, or PET",,,,,,,,,
,18,0.14476681710724246,0.11141199226305605,0.0216634429400386,0.334235976789168,Substrate Type,,,Glass,,,,,,,,,
,9,0.9731356114334824,0.987234042553191,0.6963249516441,1.2348162475822,Orientation or Alignment,,,,In-plane transport optimized,,,,,,,,
,9,0.2616806361487209,0.259961315280464,0.18568665377176,0.334235976789168,Orientation or Alignment,,,,Ordered molecular packing,,,,,,,,
,9,0.027852998065764037,0.0247582205029014,0.0216634429400386,0.0371373307543521,Orientation or Alignment,,,,Liquid-crystalline order,,,,,,,,
,9,0.9731356114334824,0.987234042553191,0.6963249516441,1.2348162475822,Sample Form,,,,,Thin film / periodic architecture,,,,,,,
,18,0.14476681710724246,0.11141199226305605,0.0216634429400386,0.334235976789168,Sample Form,,,,,Thin film,,,,,,,
,9,0.9731356114334824,0.987234042553191,0.6963249516441,1.2348162475822,Thermal Conductivity Method,,,,,,Linseis thin-film analyser / 3ω SThM,,,,,,
,18,0.14476681710724246,0.11141199226305605,0.0216634429400386,0.334235976789168,Thermal Conductivity Method,,,,,,Linseis thin-film analyser,,,,,,
,29,0.5309729733875803,0.331141199226305,0.18457,1.2348162475822,Thermal Conductivity,,,,,,,"(0.149, 0.45]",,,,,
,18,0.02820872125510424,0.026235,0.02073,0.0371373307543521,Thermal Conductivity,,,,,,,"(0.45, 0.79]",,,,,
,15,0.3571373307543517,0.216634429400386,0.0216634429400386,0.987234042553191,Doping or Oxidation Level,,,,,,,,"(2.999, 9.0]",,,,
,33,0.4312701353965183,0.281624758220503,0.02073,1.23286,Doping or Oxidation Level,,,,,,,,"(9.0, 12.0]",,,,
,6,0.5245647969052207,0.3326885880077365,0.0340425531914893,1.2348162475822,Doping or Oxidation Level,,,,,,,,"(12.0, 15.0]",,,,
,7,0.5353965183752413,0.6963249516441,0.18568665377176,0.875822050290135,Electrical Conductivity,,,,,,,,,"(8.05, 71.278]",,,
,7,0.7087040618955502,0.987234042553191,0.0216634429400386,1.2348162475822,Electrical Conductivity,,,,,,,,,"(71.278, 134.9]",,,
,6,0.3058671824629264,0.15319148936170218,0.0247582205029014,1.17601547388781,Electrical Conductivity,,,,,,,,,"(134.9, 273.821]",,,
,7,0.11715943630837236,0.0340425531914893,0.0247582205029014,0.334235976789168,Electrical Conductivity,,,,,,,,,"(273.821, 581.395]",,,
,7,0.0291793313069909,0.0278529980657641,0.0247582205029014,0.0371373307543521,Seebeck Coefficient,,,,,,,,,,"(27.078999999999997, 45.05]",,
,7,0.222381873445703,0.281624758220503,0.0216634429400386,0.334235976789168,Seebeck Coefficient,,,,,,,,,,"(45.05, 125.192]",,
,6,0.5426176660219194,0.229013539651837,0.18568665377176,1.2348162475822,Seebeck Coefficient,,,,,,,,,,"(125.192, 154.084]",,
,7,0.9067698259187615,0.875822050290135,0.6963249516441,1.1605415860735,Seebeck Coefficient,,,,,,,,,,"(154.084, 307.003]",,
,12,0.04027530303030302,0.025484110251450698,0.02073,0.18568665377176,Power Factor,,,,,,,,,,,"(21.727999999999998, 61.512]",
,12,0.19262449709864585,0.035725,0.02408,0.745841392649903,Power Factor,,,,,,,,,,,"(61.512, 138.49]",
,11,0.5126647547037099,0.331141199226305,0.18457,1.05531914893617,Power Factor,,,,,,,,,,,"(138.49, 292.38]",
,12,0.6226552756286258,0.333325,0.21719,1.2348162475822,Power Factor,,,,,,,,,,,"(292.38, 603.029]",
,42,0.3981655526388501,0.24098132495164398,0.02073,1.2348162475822,Temperature K,,,,,,,,,,,,"(297.999, 338.0]"
,12,0.5011175,0.319795,0.02905,1.23286,Temperature K,,,,,,,,,,,,"(338.0, 378.0]"
